身份证号	                                性别	姓名	出生日期	                信用评级	资产情况  年龄
625123196702036000	男	赵一	2019/02/30 	5	5               1
652138915894562000	男	李三	2018/03/21 	4	4               2
862112842654896000	男	张二	2008/03/06	4	3               13
963254178962401000	女	郑寅	2016/05/12 	4	3               5
852139635421236000	女	钱穆	2014/03/27             4	2               7
912365894236945000	女	周瑜	2011/09/6               4	1               9
362149523198736000	女	黄盖	2015/07/19             3	2               5
103659483216578000	女	刘备	2013/06/19             3	2               8
423651983216547000	女	曹操	2016/06/4               5	2               5
863210548963201000	男	诸葛亮	2014/04/7	3	2               7
103654230896230000	女	林黛玉	2018/09/1	5	1               2
486230153269843000	女	贾宝玉	2015/07/15	5	1               5
362459876310254000	女	吴克辉	2020/12/11	1	3               0
862195430147563000            女             端迁移      1980/07/03             5              5               40
306215489623105000            男             敬硕航      1965/12/22             5              5               55
423561235869475000            男             悦心语      1987/06/12             5              5               33
103654239587563000            男             孙悟空       1990/12/05            4              5               30
786320145320698000            男             猪八戒       1989/11/23            5              5               31
410361589632105000            女             宋江          1975/08/21            5              5               45
103625489632014000            男             吴勇          1976/08/09         5              5               44

